target,dim01,dim02,dim03,dim04,dim05,dim06,dim07,dim08,dim09,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32
stylF_5c7a7d77b2261_0.jpg,-0.1255144,0.13551001,0.17987762,0.089036815,-0.10176571,0.1259837,-0.096653886,0.121964455,-0.16617556,0.16726877,-0.15740612,-0.055718664,-0.16092049,0.18934272,0.19067839,-0.1639372,-0.10723165,-0.122395605,-0.13629222,0.18018809,0.15666406,0.13205126,0.18200222,0.19654071,-0.16093944,0.19372758,0.1762664,0.11597434,-0.13933116,0.18390831,-0.15397614,-0.10538674
BUT2H4AYHAKJKHVG4IC2BYIWUU_0.jpg,-0.48444587,-1.4664971,1.1450192,1.1336105,-1.268707,-0.78352535,-0.6916909,1.1484352,0.9913894,1.4650214,0.88316315,1.3463471,-1.0625416,-0.1304671,-0.9735514,1.0536169,1.145413,-2.8001127,0.9614878,1.0649903,1.1946595,-2.5830348,1.890367,1.0525819,1.1735716,-1.2300516,-1.2287084,-1.997809,-0.7604699,0.62151784,2.5056005,-1.1417079
20201012-KM60001401_0.jpg,0.071923174,0.20078766,-0.062309027,-0.13775617,0.08972817,0.34566283,0.105240665,0.046630945,-0.3720541,0.033654872,-0.3985456,-0.33738422,0.10439581,0.34938148,0.43719026,-0.31246847,-0.33743188,-0.2055607,-0.34782562,-0.039337248,0.021714697,0.18589695,0.049675528,-0.048514083,-0.3633787,0.26323527,0.27334347,0.17851129,0.08960775,-0.04551516,-0.18438378,-0.0018220021
20201014-HM50000901_0.jpg,0.957247,1.8384638,0.5265733,-1.1510637,-1.6281904,1.0482012,1.3437902,-1.1828417,-1.8739533,-1.2323729,1.3001955,1.1089195,1.1667534,1.8536115,-1.2210221,-1.6740453,1.0020083,1.3927258,-1.7979417,-1.0636991,-1.1838504,-1.2074769,1.5091575,-1.199278,1.1270897,-1.1768186,-1.0459069,-0.83728546,-1.548953,-0.3563764,1.1000284,1.2777609
unnamFd (1)_0.jpg,1.249973,-1.2658546,-1.2915077,-0.9890652,1.131634,-1.1982669,1.0248213,-1.1878583,1.2113101,-1.0851213,1.0242678,1.2298514,1.1982664,-1.3898401,-1.1446735,1.2388897,1.309189,0.9222577,1.3633761,-1.1499972,-1.0957263,-1.1607258,-1.4305702,-1.2042692,1.2223973,-1.162857,-1.2695206,-1.2184526,1.2002698,-1.2914906,1.2915212,1.0777495
20170629043635_1087212_1109_1664_0.jpg,-1.2987603,1.1931232,1.1477926,1.1546571,1.3454624,-1.1585951,-1.1371342,-1.1698612,1.0932374,-1.0999916,1.0265592,-1.4116268,-1.1507304,-1.1954824,-0.9480953,-1.2718841,-1.4752257,1.2050484,-1.236839,1.2308356,-1.2909735,1.0677265,1.2925957,1.2413151,1.0043981,1.2900763,1.3764163,-1.1726702,-1.1111437,1.1528497,-1.4185694,1.295324
20201012-KM60001301_0.jpg,1.4905268,-1.1696097,-1.6876177,-1.2328031,1.3671483,-0.95636064,1.3379247,-1.3786271,1.0602413,-1.3067923,0.67531765,0.93099505,1.5001363,-1.207644,-0.8559117,1.0392876,0.96380687,0.78660727,1.2388784,-1.4081478,-1.3070364,-1.0035033,-1.6482058,-1.5078888,0.8088814,-0.9203943,-0.95786375,-1.1588643,1.661961,-1.593934,1.2101861,1.1907876
20201012-KM60002902_0.jpg,-1.2458779,-0.64205253,1.2718384,1.2447625,-1.3888507,-1.1974676,-1.1191344,1.4824765,1.0536301,1.4379483,1.0805866,1.1333686,-1.2879496,-1.1682984,-0.80685943,1.3167622,1.3065097,2.0157323,1.2970269,1.2270734,1.4353479,1.9515603,-1.7644278,1.2132261,0.90033555,-1.1840847,-1.2426623,2.2655714,-1.3218827,1.1921777,-1.7577969,-1.4444402
20201014-HM60001901_0.jpg,1.4603084,-1.2227986,-1.7152504,-1.2419709,1.1990886,-1.0894539,1.2564805,-1.1940211,1.004225,-1.1854225,0.75131714,1.0452638,1.411426,-1.247231,-0.8844048,1.2102506,1.0893672,0.8951324,1.320881,-1.3642524,-1.1387196,-1.1075847,-1.7366896,-1.4347743,0.8600222,-1.0042533,-1.0508713,-1.042227,1.5882772,-1.5757538,1.2217296,1.0661377
018611f6655d231908059768ac39514F_0.jpg,-0.11317068,0.19794773,0.18050812,0.10607033,-0.15986206,0.1391812,-0.12705047,0.13162956,-0.16299903,0.16631953,-0.11600207,-0.18812129,-0.15883544,0.17814195,0.11181152,-0.13960627,-0.14551625,-0.1160681,-0.1865029,0.112244315,0.119491294,0.10773753,0.15190545,0.18538733,-0.15526466,0.17809524,0.20332107,0.13314037,-0.17709589,0.17995201,-0.14053875,-0.17175657
20201012-KM60002402_0.jpg,0.06292525,0.11660686,-0.19491607,-0.13446885,0.12292994,0.4351423,0.02976388,0.119695134,-0.4139471,0.1227713,-0.59734213,-0.3738755,0.12657528,0.25503165,0.51525813,-0.1432534,-0.37147295,-0.22111079,-0.24165739,-0.17072277,0.15131311,0.30621496,-0.17617264,-0.066978976,-0.5565921,0.40591827,0.4197102,0.3762251,0.2680794,-0.020805432,-0.23546892,-0.23347582
20201012-KM60001403_0.jpg,0.067916736,0.12066021,-0.14310214,-0.09133566,0.13662246,0.36512303,0.11193768,0.040578168,-0.27280894,0.034124885,-0.43414944,-0.2620175,0.115151905,0.3117867,0.40560845,-0.18142772,-0.31035018,-0.107328,-0.17831004,-0.14583255,-0.004704126,0.19250332,-0.03300853,-0.12805931,-0.39437386,0.34594774,0.3609788,0.2844456,0.2520102,-0.1260729,-0.1694925,0.016253198
20201012-KM60001602_0.jpg,0.040932853,0.2079854,-0.117321394,-0.04146095,0.14105268,0.2627757,-0.009559707,0.034926623,-0.22283457,0.012528919,-0.3686846,-0.31548348,0.09431809,0.15907766,0.3560975,-0.20857964,-0.28730425,-0.016567301,-0.22547081,-0.08148366,0.008485436,0.32400745,-0.042971093,-0.07819884,-0.3841165,0.34483504,0.35379398,0.18516403,0.11765299,-0.008000854,-0.23607318,-0.027210476
20201012-KM60001501_0.jpg,0.12207322,-0.09022892,-0.26056916,-0.15359972,0.09988093,0.48111537,0.08120911,0.19052714,-0.32579398,0.07403276,-0.4930939,-0.25327715,0.100894764,0.28958052,0.38117963,-0.13154463,-0.2728492,-0.3546848,-0.13499273,-0.17143883,0.1562543,0.05569244,-0.12612258,-0.100676194,-0.5379657,0.30382773,0.23458248,0.23296304,0.26526463,-0.22696023,-0.076277435,-0.1224246
11065498d50c89dbd4aF08616abF65d8_0.jpg,-0.11170107,0.075973496,0.05367087,0.14511941,-0.07329808,0.054451104,-0.12330679,0.08498167,-0.10439162,0.11823364,-0.07674177,-0.05670477,-0.08270643,0.119310446,0.055497304,-0.056150958,-0.14271623,-0.06867765,-0.14082232,0.07138038,0.09360357,0.096994266,0.12700126,0.07717389,-0.10626485,0.0570826,0.08711192,0.119716406,-0.123962015,0.12716095,-0.0935276,-0.079460405
20201012-KM60002401_0.jpg,-0.004051354,0.04472162,-0.1548168,-0.12082529,0.022737559,0.31590083,-0.09043796,0.1682831,-0.27984065,0.041027304,-0.48120877,-0.2577607,0.09822404,0.24262647,0.4134069,-0.17117076,-0.20451166,-0.34548968,-0.18170552,-0.13316654,0.16345212,0.2426054,-0.0830719,-0.043812778,-0.47761658,0.34282395,0.317325,0.2738811,0.15129068,-0.07520532,-0.03144767,-0.19863592
unnamFd (6)_0.jpg,-0.1397087,0.09483432,0.09278568,0.06093119,-0.11878417,0.13500345,-0.06106437,0.14644207,-0.1744779,0.11314316,-0.1368024,-0.08981054,-0.13338433,0.1566392,0.1657763,-0.09949631,-0.14194033,-0.08328998,-0.18409629,0.10976324,0.12970343,0.14261249,0.18889305,0.15354629,-0.09543637,0.15033206,0.16496903,0.11200065,-0.14116696,0.1361761,-0.11038388,-0.09394918
20201015-KM50000901_0.jpg,-1.2936989,1.3220582,1.2147621,1.2215172,1.3499494,-1.2101771,-1.0889224,-1.3033525,1.0172762,-1.2517811,0.9945055,-1.427437,-1.1435225,-1.1996199,-0.9928384,-1.2826368,-1.5076846,1.1875505,-1.2578381,1.1857159,-1.3440981,0.9971315,1.3912342,1.2006389,1.0530841,1.3181282,1.4186755,-1.3189701,-1.1625335,1.1864475,-1.4516786,1.3221421
